Problem no : 3
Minimum cost is 106.47319369621265৳ 
Source:  (90.401026, 23.876867)
Destination:  (90.378663, 23.774855)
Cost: 0.4560489642510928৳ . Ride Car from Source (90.401026, 23.876867) to (90.400821, 23.876116)
Cost: 0.08898493241262617৳ . Ride Car from  (90.400821, 23.876116) to (90.40078100000001, 23.875970000000002)
Cost: 0.42303836810866297৳ . Ride Car from  (90.40078100000001, 23.875970000000002) to (90.400591, 23.874651)
Cost: 0.12130470466174306৳ . Ride Car from  (90.400591, 23.874651) to (90.400645, 23.87355)
Cost: 0.04718480748549629৳ . Ride Car from  (90.400645, 23.87355) to (90.400666, 23.873117)
Cost: 0.06502747422686961৳ . Ride Car from  (90.400666, 23.873117) to (90.400637, 23.872582)
Cost: 0.09149247305174049৳ . Ride Car from  (90.400637, 23.872582) to (90.400596, 23.872096)
Cost: 0.1427193237883025৳ . Ride Car from  (90.400596, 23.872096) to (90.400532, 23.871418)
Cost: 0.0670018007070476৳ . Ride Car from  (90.400532, 23.871418) to (90.400502, 23.871021)
Cost: 0.2236363447943501৳ . Ride Car from  (90.400502, 23.871021) to (90.400402, 23.869504)
Cost: 0.15979677297168132৳ . Ride Car from  (90.400402, 23.869504) to (90.40033100000001, 23.867923)
Cost: 0.3882738524442781৳ . Ride Car from  (90.40033100000001, 23.867923) to (90.40015799999999, 23.864556)
Cost: 0.05149979967788672৳ . Ride Car from  (90.40015799999999, 23.864556) to (90.40013499999999, 23.86417)
Cost: 0.23904658691199387৳ . Ride Car from  (90.40013499999999, 23.86417) to (90.400028, 23.862702)
Cost: 0.8150089687211461৳ . Ride Car from  (90.400028, 23.862702) to (90.40039399999999, 23.860737)
Cost: 9.736624714920943৳ . Ride Car from  (90.40039399999999, 23.860737) to (90.404772, 23.855135999999998)
Cost: 0.45369123988393206৳ . Ride Car from  (90.404772, 23.855135999999998) to (90.404976, 23.854894)
Cost: 0.23574143497726632৳ . Ride Car from  (90.404976, 23.854894) to (90.405082, 23.854769)
Cost: 28.400355185449033৳ . Ride Car from  (90.405082, 23.854769) to (90.417852, 23.838712)
Cost: 1.1455612628747855৳ . Ride Car from  (90.417852, 23.838712) to (90.418367, 23.837227)
Cost: 0.9499572983573706৳ . Ride Car from  (90.418367, 23.837227) to (90.41879399999999, 23.835634)
Cost: 1.0150333214824376৳ . Ride Car from  (90.41879399999999, 23.835634) to (90.41925, 23.832955)
Cost: 1.5626525653706063৳ . Ride Car from  (90.41925, 23.832955) to (90.419952, 23.828785999999997)
Cost: 1.5015857294186228৳ .  Ride Uttara Bus from  Khilkhet(90.419952, 23.828785999999997) to  Kuril (90.419038, 23.821667)
Cost: 3.160978182477818৳ .  Ride Uttara Bus from  Kuril(90.419038, 23.821667) to  Shewra (90.41497700000001, 23.818866)
Cost: 7.74398242257021৳ .  Ride Uttara Bus from  Shewra(90.41497700000001, 23.818866) to MES Busstop (90.405028, 23.816025)
Cost: 3.101836272115783৳ .  Ride Uttara Bus from  MES BUS Stop(90.405028, 23.816025) to  Banani (90.401046, 23.794539999999998)
Cost: 0.026712305973875212৳ . Ride Car from  (90.401046, 23.794539999999998) to (90.401034, 23.794465)
Cost: 1.7543797358302782৳ .  Ride Uttara Bus from  Banani(90.401034, 23.794465) to Mohakhali (90.398782, 23.781108)
Cost: 0.2603798969252137৳ . Ride Car from  (90.398782, 23.781108) to (90.39866500000001, 23.780476)
Cost: 0.14688413292681862৳ . Ride Car from  (90.39866500000001, 23.780476) to (90.398599, 23.780114)
Cost: 0.15356274750917062৳ . Ride Car from  (90.398599, 23.780114) to (90.39853000000001, 23.779732)
Cost: 0.01114744217625609৳ . Ride Car from  (90.39853000000001, 23.779732) to (90.398525, 23.779681)
Cost: 0.21391206135951188৳ . Ride Car from  (90.398525, 23.779681) to (90.39842900000001, 23.778817)
Cost: 0.15586401234508৳ . Ride Car from  (90.39842900000001, 23.778817) to (90.398359, 23.778318)
Cost: 0.015692589975135802৳ . Ride Car from  (90.398359, 23.778318) to (90.398352, 23.77819)
Cost: 0.8784399206539522৳ . Ride Car from  (90.398352, 23.77819) to (90.39795699999999, 23.778191)
Cost: 0.4892576774454271৳ . Ride Car from  (90.39795699999999, 23.778191) to (90.397737, 23.778192)
Cost: 0.2601961283866123৳ . Ride Car from  (90.397737, 23.778192) to (90.39761999999999, 23.778192)
Cost: 0.17346408622482157৳ . Ride Car from  (90.39761999999999, 23.778192) to (90.397542, 23.778192999999998)
Cost: 0.5337365609348579৳ . Ride Car from  (90.397542, 23.778192999999998) to (90.397302, 23.778129)
Cost: 2.0593416543582674৳ . Ride Car from  (90.397302, 23.778129) to (90.396376, 23.77768)
Cost: 0.4225441086788973৳ . Ride Car from  (90.396376, 23.77768) to (90.396186, 23.77757)
Cost: 1.5989962517618324৳ . Ride Car from  (90.396186, 23.77757) to (90.39546700000001, 23.777147)
Cost: 0.22239169680737075৳ . Ride Car from  (90.39546700000001, 23.777147) to (90.39536700000001, 23.777088)
Cost: 2.2127955076330896৳ . Ride Car from  (90.39536700000001, 23.777088) to (90.394372, 23.776531)
Cost: 0.4581233761301784৳ . Ride Car from  (90.394372, 23.776531) to (90.394166, 23.776498)
Cost: 0.5137245885097809৳ . Ride Car from  (90.394166, 23.776498) to (90.393935, 23.776365)
Cost: 0.8295215357247278৳ . Ride Car from  (90.393935, 23.776365) to (90.393562, 23.776135999999997)
Cost: 0.08895676100263165৳ . Ride Car from  (90.393562, 23.776135999999997) to (90.39352199999999, 23.776111)
Cost: 1.7635584234881683৳ . Ride Car from  (90.39352199999999, 23.776111) to (90.392729, 23.775788000000002)
Cost: 3.983005708415761৳ . Ride Car from  (90.392729, 23.775788000000002) to (90.390938, 23.775444)
Cost: 1.7184471106385928৳ .  Ride Uttara Bus from  Jahangir Gate(90.390938, 23.775444) to  Bijoy Sarani (90.389064, 23.765148)
Cost: 0.014832912234465995৳ . Ride Car from  (90.389064, 23.765148) to (90.38906, 23.764362)
Cost: 7.7703060343136৳ . Ride Car from  (90.38906, 23.764362) to (90.385566, 23.764922)
Cost: 2.6642319709596576৳ . Ride Car from  (90.385566, 23.764922) to (90.38436800000001, 23.765113)
Cost: 2.1727488913751207৳ . Ride Car from  (90.38436800000001, 23.765113) to (90.383391, 23.765135)
Cost: 0.31836533185021026৳ . Ride Car from  (90.383391, 23.765135) to (90.383248, 23.766135000000002)
Cost: 0.14037187671757836৳ . Ride Car from  (90.383248, 23.766135000000002) to (90.383185, 23.766716)
Cost: 0.25039256950426725৳ . Ride Car from  (90.383185, 23.766716) to (90.383073, 23.76844)
Cost: 0.46934389647699126৳ . Ride Car from  (90.383073, 23.76844) to (90.382862, 23.769095999999998)
Cost: 0.45157635425804776৳ . Ride Car from  (90.382862, 23.769095999999998) to (90.38265899999999, 23.769810999999997)
Cost: 0.1914105195049925৳ . Ride Car from  (90.38265899999999, 23.769810999999997) to (90.382573, 23.770329999999998)
Cost: 0.16472145927682302৳ . Ride Car from  (90.382573, 23.770329999999998) to (90.382499, 23.770808)
Cost: 0.0734346224100364৳ . Ride Car from  (90.382499, 23.770808) to (90.38246600000001, 23.770982999999998)
Cost: 0.6116952201090197৳ . Ride Car from  (90.38246600000001, 23.770982999999998) to (90.382191, 23.771810000000002)
Cost: 0.07562768692865894৳ . Ride Car from  (90.382191, 23.771810000000002) to (90.38215699999999, 23.771912)
Cost: 0.5894563948212641৳ . Ride Car from  (90.38215699999999, 23.771912) to (90.38189200000001, 23.772725)
Cost: 0.4181922452638526৳ . Ride Car from  (90.38189200000001, 23.772725) to (90.381704, 23.77334)
Cost: 1.022993514156863৳ . Ride Car from  (90.381704, 23.77334) to (90.381244, 23.773298)
Cost: 1.2298161199002935৳ . Ride Car from  (90.381244, 23.773298) to (90.380691, 23.773247)
Cost: 1.1097255757774156৳ . Ride Car from  (90.380691, 23.773247) to (90.38019200000001, 23.773201)
Cost: 0.1424319278610414৳ . Ride Car from  (90.38019200000001, 23.773201) to (90.380128, 23.773567)
Cost: 0.1379817028391077৳ . Ride Car from  (90.380128, 23.773567) to (90.380066, 23.773923)
Cost: 0.1424318599729027৳ . Ride Car from  (90.380066, 23.773923) to (90.380002, 23.774289000000003)
Cost: 0.14465972917817707৳ . Ride Car from  (90.380002, 23.774289000000003) to (90.379937, 23.774665)
Cost: 0.0756644417026056৳ . Ride Car from  (90.379937, 23.774665) to (90.379903, 23.774855)
Cost: 0.07120940581347251৳ . Ride Car from  (90.379903, 23.774855) to (90.379871, 23.775026)
Walk from  (90.379871, 23.775026) to Destination (90.378663, 23.774855)
