Problem no : 1
Source:  (90.40023, 23.87596)
Destination:  (90.367982, 23.835966)
Walk from Source (90.40023, 23.87596) to (90.40022900000001, 23.875956)
Ride Car from  (90.40022900000001, 23.875956) to (90.40001600000001, 23.874631)
Ride Car from  (90.40001600000001, 23.874631) to (90.400324, 23.874642)
Ride Car from  (90.400324, 23.874642) to (90.400419, 23.872993)
Ride Car from  (90.400419, 23.872993) to (90.400314, 23.871420999999998)
Ride Car from  (90.400314, 23.871420999999998) to (90.400532, 23.871418)
Ride Car from  (90.400532, 23.871418) to (90.400502, 23.871021)
Ride Car from  (90.400502, 23.871021) to (90.400402, 23.869504)
Ride Car from  (90.400402, 23.869504) to (90.40033100000001, 23.867923)
Ride Car from  (90.40033100000001, 23.867923) to (90.40015799999999, 23.864556)
Ride Car from  (90.40015799999999, 23.864556) to (90.40013499999999, 23.86417)
Ride Car from  (90.40013499999999, 23.86417) to (90.400028, 23.862702)
Ride Car from  (90.400028, 23.862702) to (90.40039399999999, 23.860737)
Ride Car from  (90.40039399999999, 23.860737) to (90.404772, 23.855135999999998)
Ride Car from  (90.404772, 23.855135999999998) to (90.404976, 23.854894)
Ride Car from  (90.404976, 23.854894) to (90.405082, 23.854769)
Ride Car from  (90.405082, 23.854769) to (90.416504, 23.840885)
Ride Car from  (90.416504, 23.840885) to (90.417852, 23.838712)
Ride Car from  (90.417852, 23.838712) to (90.418367, 23.837227)
Ride Car from  (90.418367, 23.837227) to (90.41879399999999, 23.835634)
Ride Car from  (90.41879399999999, 23.835634) to (90.41925, 23.832955)
Ride Car from  (90.41925, 23.832955) to (90.419952, 23.828785999999997)
Ride Car from  (90.419952, 23.828785999999997) to (90.420275, 23.826829999999998)
Ride Car from  (90.420275, 23.826829999999998) to (90.420459, 23.824999)
Ride Car from  (90.420459, 23.824999) to (90.420262, 23.823607)
Ride Car from  (90.420262, 23.823607) to (90.419859, 23.822765)
Ride Car from  (90.419859, 23.822765) to (90.419038, 23.821667)
Ride Car from  (90.419038, 23.821667) to (90.41813, 23.820968)
Ride Car from  (90.41813, 23.820968) to (90.41735600000001, 23.820452)
Ride Car from  (90.41735600000001, 23.820452) to (90.41497700000001, 23.818866)
Ride Car from  (90.41497700000001, 23.818866) to (90.412319, 23.817219)
Ride Car from  (90.412319, 23.817219) to (90.411457, 23.816883999999998)
Ride Car from  (90.411457, 23.816883999999998) to (90.41072700000001, 23.816886)
Ride Car from  (90.41072700000001, 23.816886) to (90.409454, 23.816909)
Ride Car from  (90.409454, 23.816909) to (90.406676, 23.816979)
Ride Car from  (90.406676, 23.816979) to (90.405609, 23.816548)
Ride Car from  (90.405609, 23.816548) to (90.405028, 23.816025)
Ride Car from  (90.405028, 23.816025) to (90.40449, 23.815063000000002)
Ride Car from  (90.40449, 23.815063000000002) to (90.404066, 23.812829999999998)
Ride Car from  (90.404066, 23.812829999999998) to (90.402068, 23.800666)
Ride Car from  (90.402068, 23.800666) to (90.401986, 23.800196)
Ride Car from  (90.401986, 23.800196) to (90.40181700000001, 23.799134)
Ride Car from  (90.40181700000001, 23.799134) to (90.401466, 23.797032)
Ride Car from  (90.401466, 23.797032) to (90.401046, 23.794539999999998)
Ride Car from  (90.401046, 23.794539999999998) to (90.400586, 23.794395)
Ride Car from  (90.400586, 23.794395) to (90.400437, 23.793641)
Ride Car from  (90.400437, 23.793641) to (90.399963, 23.790702)
Ride Car from  (90.399963, 23.790702) to (90.39994899999999, 23.790589999999998)
Ride Car from  (90.39994899999999, 23.790589999999998) to (90.399935, 23.790484)
Ride Car from  (90.399935, 23.790484) to (90.39795699999999, 23.778191)
