Problem no : 1
Source:  (90.36295, 23.80874)
Destination:  (90.40737, 23.73176)
Walk from Source (90.36295, 23.80874) to (90.362953, 23.808745000000002)
Ride Car from  (90.362953, 23.808745000000002) to (90.363013, 23.808396)
Ride Car from  (90.363013, 23.808396) to (90.363799, 23.808522)
Ride Car from  (90.363799, 23.808522) to (90.364005, 23.808569)
Ride Car from  (90.364005, 23.808569) to (90.36431800000001, 23.80865)
Ride Car from  (90.36431800000001, 23.80865) to (90.36519399999999, 23.808660999999997)
Ride Car from  (90.36519399999999, 23.808660999999997) to (90.36610300000001, 23.808656)
Ride Car from  (90.36610300000001, 23.808656) to (90.36675699999999, 23.808691)
Ride Car from  (90.36675699999999, 23.808691) to (90.367164, 23.808785)
Ride Car from  (90.367164, 23.808785) to (90.367227, 23.808493)
Ride Car from  (90.367227, 23.808493) to (90.36818000000001, 23.808691)
Ride Car from  (90.36818000000001, 23.808691) to (90.368237, 23.808491)
Ride Car from  (90.368237, 23.808491) to (90.36826500000001, 23.808393)
Ride Car from  (90.36826500000001, 23.808393) to (90.368481, 23.80763)
Ride Car from  (90.368481, 23.80763) to (90.368626, 23.807119)
Ride Car from  (90.368626, 23.807119) to (90.368654, 23.807017000000002)
Ride Car from  (90.368654, 23.807017000000002) to (90.368726, 23.806756)
Ride Car from  (90.368726, 23.806756) to (90.36875400000001, 23.806656)
Ride Car from  (90.36875400000001, 23.806656) to (90.368835, 23.806442)
Ride Car from  (90.368835, 23.806442) to (90.36905, 23.805951)
Ride Car from  (90.36905, 23.805951) to (90.369084, 23.805873000000002)
Ride Car from  (90.369084, 23.805873000000002) to (90.369223, 23.805553)
Ride Car from  (90.369223, 23.805553) to (90.369288, 23.805404)
Ride Car from  (90.369288, 23.805404) to (90.36949200000001, 23.804995)
Ride Car from  (90.36949200000001, 23.804995) to (90.369672, 23.804634)
Ride Car from  (90.369672, 23.804634) to (90.369741, 23.804497)
Ride Car from  (90.369741, 23.804497) to (90.36983599999999, 23.804307)
Ride Car from  (90.36983599999999, 23.804307) to (90.369938, 23.804101)
Ride Car from  (90.369938, 23.804101) to (90.37011700000001, 23.803745000000003)
Ride Car from  (90.37011700000001, 23.803745000000003) to (90.370159, 23.803662)
Ride Car from  (90.370159, 23.803662) to (90.37020799999999, 23.803547000000002)
Ride Car from  (90.37020799999999, 23.803547000000002) to (90.370297, 23.803335)
Ride Car from  (90.370297, 23.803335) to (90.370338, 23.803239)
Ride Car from  (90.370338, 23.803239) to (90.370483, 23.802896)
Ride Car from  (90.370483, 23.802896) to (90.370564, 23.802708)
Ride Car from  (90.370564, 23.802708) to (90.3706, 23.802625)
Ride Car from  (90.3706, 23.802625) to (90.370836, 23.802073999999998)
Ride Car from  (90.370836, 23.802073999999998) to (90.37089499999999, 23.801935)
Ride Car from  (90.37089499999999, 23.801935) to (90.37106700000001, 23.801532)
Ride Car from  (90.37106700000001, 23.801532) to (90.371197, 23.801223999999998)
Ride Car from  (90.371197, 23.801223999999998) to (90.371336, 23.800898)
Ride Car from  (90.371336, 23.800898) to (90.371414, 23.800714000000003)
Ride Car from  (90.371414, 23.800714000000003) to (90.371483, 23.800552)
Ride Car from  (90.371483, 23.800552) to (90.3715, 23.80051)
Ride Car from  (90.3715, 23.80051) to (90.37153599999999, 23.800428)
Ride Car from  (90.37153599999999, 23.800428) to (90.371735, 23.799963)
Ride Car from  (90.371735, 23.799963) to (90.371966, 23.799425)
Ride Car from  (90.371966, 23.799425) to (90.372061, 23.799184)
