Problem no : 4
Source:  (90.421608, 23.829503)
Destination:  (90.3797, 23.77603)
Time : 19 : 14. Cost: 0৳ .  Walk from Source (90.421608, 23.829503) to  (90.42160799999999, 23.829503)
Time : 19 : 14. Cost: 0.1289869255980412৳ . Ride Car from  (90.420816, 23.829156) to (90.42075799999999, 23.829128)
Time : 19 : 14. Cost: 1.7924709027089805৳ . Ride Car from  (90.42075799999999, 23.829128) to (90.419952, 23.828785999999997)
Time : 19 : 15. Cost: 1.5015857294186228৳ .  Ride Uttara Bus from  Khilkhet(90.419952, 23.828785999999997) to  Kuril (90.419038, 23.821667)
Time : 19 : 16. Cost: 3.160978182477818৳ .  Ride Uttara Bus from  Kuril(90.419038, 23.821667) to  Shewra (90.41497700000001, 23.818866)
Time : 19 : 17. Cost: 7.74398242257021৳ .  Ride Uttara Bus from  Shewra(90.41497700000001, 23.818866) to MES Busstop (90.405028, 23.816025)
Time : 19 : 18. Cost: 3.101836272115783৳ .  Ride Uttara Bus from  MES BUS Stop(90.405028, 23.816025) to  Banani (90.401046, 23.794539999999998)
Time : 19 : 19. Cost: 1.0229958122469693৳ . Ride Car from  (90.401046, 23.794539999999998) to (90.400586, 23.794395)
Time : 19 : 19. Cost: 0.33156812602230346৳ . Ride Car from  (90.400586, 23.794395) to (90.400437, 23.793641)
Time : 19 : 19. Cost: 1.055116011620976৳ . Ride Car from  (90.400437, 23.793641) to (90.399963, 23.790702)
Time : 19 : 19. Cost: 0.031183088987950427৳ . Ride Car from  (90.399963, 23.790702) to (90.39994899999999, 23.790589999999998)
Time : 19 : 19. Cost: 0.03117803121085419৳ . Ride Car from  (90.39994899999999, 23.790589999999998) to (90.399935, 23.790484)
Time : 19 : 19. Cost: 4.402987953875884৳ . Ride Car from  (90.399935, 23.790484) to (90.39795699999999, 23.778191)
Time : 19 : 20. Cost: 0.4892576774454271৳ . Ride Car from  (90.39795699999999, 23.778191) to (90.397737, 23.778192)
Time : 19 : 20. Cost: 0.6633477515428022৳ . Ride Car from  (90.397737, 23.778192) to (90.397439, 23.776325)
Time : 19 : 20. Cost: 0.14689491030589577৳ . Ride Car from  (90.397439, 23.776325) to (90.397373, 23.775944)
Time : 19 : 20. Cost: 0.040058699181084935৳ . Ride Car from  (90.397373, 23.775944) to (90.397355, 23.775845999999998)
Time : 19 : 20. Cost: 0.3427798367191421৳ . Ride Car from  (90.397355, 23.775845999999998) to (90.397201, 23.774917000000002)
Time : 19 : 20. Cost: 0.31388189512290987৳ . Ride Car from  (90.397201, 23.774917000000002) to (90.39706, 23.774009)
Time : 19 : 20. Cost: 0.46967119362076426৳ . Ride Car from  (90.39706, 23.774009) to (90.396849, 23.772707)
Time : 19 : 20. Cost: 0.25154100919708683৳ . Ride Car from  (90.396849, 23.772707) to (90.396736, 23.771993)
Time : 19 : 20. Cost: 0.19592684814295042৳ . Ride Car from  (90.396736, 23.771993) to (90.396648, 23.771385000000002)
Time : 19 : 20. Cost: 0.22262040086022028৳ . Ride Car from  (90.396648, 23.771385000000002) to (90.396548, 23.770726999999997)
Time : 19 : 20. Cost: 0.37620408746477346৳ . Ride Car from  (90.396548, 23.770726999999997) to (90.39637900000001, 23.76965)
Time : 19 : 20. Cost: 0.0890377226438331৳ . Ride Car from  (90.39637900000001, 23.76965) to (90.396339, 23.769402)
Time : 19 : 20. Cost: 0.11129128435681199৳ . Ride Car from  (90.396339, 23.769402) to (90.396289, 23.769101000000003)
Time : 19 : 20. Cost: 0.1357657977679847৳ . Ride Car from  (90.396289, 23.769101000000003) to (90.39622800000001, 23.768749)
Time : 19 : 20. Cost: 0.09792463764691255৳ . Ride Car from  (90.39622800000001, 23.768749) to (90.39618399999999, 23.768503)
Time : 19 : 20. Cost: 0.9591400325562173৳ . Ride Car from  (90.39618399999999, 23.768503) to (90.395753, 23.766223999999998)
Time : 19 : 20. Cost: 1.1368868686770668৳ . Ride Car from  (90.395753, 23.766223999999998) to (90.39524200000001, 23.764084)
Time : 19 : 20. Cost: 0.3716779778671855৳ . Ride Car from  (90.39524200000001, 23.764084) to (90.395075, 23.763132000000002)
Time : 19 : 20. Cost: 2.270637129006046৳ . Ride Car from  (90.395075, 23.763132000000002) to (90.394054, 23.762466)
Time : 19 : 20. Cost: 1.5078083201285761৳ . Ride Car from  (90.394054, 23.762466) to (90.393376, 23.762723)
Time : 19 : 21. Cost: 0.7116484267369114৳ . Ride Car from  (90.393376, 23.762723) to (90.393056, 23.762797)
Time : 19 : 21. Cost: 0.24685325040334827৳ . Ride Car from  (90.393056, 23.762797) to (90.392945, 23.762829999999997)
Time : 19 : 21. Cost: 0.47813924359392496৳ . Ride Car from  (90.392945, 23.762829999999997) to (90.39273, 23.762895999999998)
Time : 19 : 21. Cost: 1.2120272126128697৳ . Ride Car from  (90.39273, 23.762895999999998) to (90.392185, 23.763057999999997)
Time : 19 : 21. Cost: 0.8873371217367108৳ . Ride Car from  (90.392185, 23.763057999999997) to (90.391786, 23.763169)
Time : 19 : 21. Cost: 0.6137984845671239৳ . Ride Car from  (90.391786, 23.763169) to (90.39151, 23.763284)
Time : 19 : 21. Cost: 0.8206284298640855৳ . Ride Car from  (90.39151, 23.763284) to (90.391141, 23.763548999999998)
Time : 19 : 21. Cost: 1.4678097032328852৳ . Ride Car from  (90.391141, 23.763548999999998) to (90.39048100000001, 23.764232999999997)
Time : 19 : 21. Cost: 2.02819628919425৳ . Ride Car from  (90.39048100000001, 23.764232999999997) to (90.389569, 23.764112)
Time : 19 : 21. Cost: 1.02966567817356৳ . Ride Car from  (90.389569, 23.764112) to (90.38910600000001, 23.764035)
Time : 19 : 22. Cost: 0.10241845740567765৳ . Ride Car from  (90.38910600000001, 23.764035) to (90.38906, 23.764362)
Time : 19 : 22. Cost: 7.7703060343136৳ . Ride Car from  (90.38906, 23.764362) to (90.385566, 23.764922)
Time : 19 : 22. Cost: 2.6642319709596576৳ . Ride Car from  (90.385566, 23.764922) to (90.38436800000001, 23.765113)
Time : 19 : 23. Cost: 2.1727488913751207৳ . Ride Car from  (90.38436800000001, 23.765113) to (90.383391, 23.765135)
Time : 19 : 23. Cost: 0.31836533185021026৳ . Ride Car from  (90.383391, 23.765135) to (90.383248, 23.766135000000002)
Time : 19 : 23. Cost: 0.14037187671757836৳ . Ride Car from  (90.383248, 23.766135000000002) to (90.383185, 23.766716)
Time : 19 : 23. Cost: 0.25039256950426725৳ . Ride Car from  (90.383185, 23.766716) to (90.383073, 23.76844)
Time : 19 : 23. Cost: 0.46934389647699126৳ . Ride Car from  (90.383073, 23.76844) to (90.382862, 23.769095999999998)
Time : 19 : 23. Cost: 0.45157635425804776৳ . Ride Car from  (90.382862, 23.769095999999998) to (90.38265899999999, 23.769810999999997)
Time : 19 : 23. Cost: 0.1914105195049925৳ . Ride Car from  (90.38265899999999, 23.769810999999997) to (90.382573, 23.770329999999998)
Time : 19 : 23. Cost: 0.16472145927682302৳ . Ride Car from  (90.382573, 23.770329999999998) to (90.382499, 23.770808)
Time : 19 : 23. Cost: 0.0734346224100364৳ . Ride Car from  (90.382499, 23.770808) to (90.38246600000001, 23.770982999999998)
Time : 19 : 23. Cost: 0.6116952201090197৳ . Ride Car from  (90.38246600000001, 23.770982999999998) to (90.382191, 23.771810000000002)
Time : 19 : 23. Cost: 0.07562768692865894৳ . Ride Car from  (90.382191, 23.771810000000002) to (90.38215699999999, 23.771912)
Time : 19 : 23. Cost: 0.5894563948212641৳ . Ride Car from  (90.38215699999999, 23.771912) to (90.38189200000001, 23.772725)
Time : 19 : 23. Cost: 0.4181922452638526৳ . Ride Car from  (90.38189200000001, 23.772725) to (90.381704, 23.77334)
Time : 19 : 23. Cost: 1.022993514156863৳ . Ride Car from  (90.381704, 23.77334) to (90.381244, 23.773298)
Time : 19 : 23. Cost: 1.2298161199002935৳ . Ride Car from  (90.381244, 23.773298) to (90.380691, 23.773247)
Time : 19 : 23. Cost: 1.1097255757774156৳ . Ride Car from  (90.380691, 23.773247) to (90.38019200000001, 23.773201)
Time : 19 : 24. Cost: 0.1424319278610414৳ . Ride Car from  (90.38019200000001, 23.773201) to (90.380128, 23.773567)
Time : 19 : 24. Cost: 0.1379817028391077৳ . Ride Car from  (90.380128, 23.773567) to (90.380066, 23.773923)
