Problem no : 4
Source:  (90.36295, 23.80874)
Destination:  (90.40737, 23.73176)
Time : 19 : 14. Cost: 0৳ .  Walk from Source (90.36295, 23.80874) to  (90.362953, 23.808745000000002)
Time : 19 : 14. Cost: 0.4581235787726562৳ . Ride Car from  (90.363799, 23.808522) to (90.364005, 23.808569)
Time : 19 : 14. Cost: 0.6960811823656619৳ . Ride Car from  (90.364005, 23.808569) to (90.36431800000001, 23.80865)
Time : 19 : 14. Cost: 1.9481351209857531৳ . Ride Car from  (90.36431800000001, 23.80865) to (90.36519399999999, 23.808660999999997)
Time : 19 : 15. Cost: 2.021523767691072৳ . Ride Car from  (90.36519399999999, 23.808660999999997) to (90.36610300000001, 23.808656)
Time : 19 : 15. Cost: 1.4544297256602448৳ . Ride Car from  (90.36610300000001, 23.808656) to (90.36675699999999, 23.808691)
Time : 19 : 15. Cost: 0.9051276931322788৳ . Ride Car from  (90.36675699999999, 23.808691) to (90.367164, 23.808785)
Time : 19 : 15. Cost: 0.1401674032078876৳ . Ride Car from  (90.367164, 23.808785) to (90.367227, 23.808493)
Time : 19 : 15. Cost: 2.1193771858016115৳ . Ride Car from  (90.367227, 23.808493) to (90.36818000000001, 23.808691)
Time : 19 : 15. Cost: 0.12679443824979705৳ . Ride Car from  (90.36818000000001, 23.808691) to (90.368237, 23.808491)
Time : 19 : 15. Cost: 0.062284911863151826৳ . Ride Car from  (90.368237, 23.808491) to (90.36826500000001, 23.808393)
Time : 19 : 15. Cost: 0.48048594809169726৳ . Ride Car from  (90.36826500000001, 23.808393) to (90.368481, 23.80763)
Time : 19 : 15. Cost: 0.32254812970049923৳ . Ride Car from  (90.368481, 23.80763) to (90.368626, 23.807119)
Time : 19 : 15. Cost: 0.06228625991401471৳ . Ride Car from  (90.368626, 23.807119) to (90.368654, 23.807017000000002)
Time : 19 : 15. Cost: 0.1601642501316525৳ . Ride Car from  (90.368654, 23.807017000000002) to (90.368726, 23.806756)
Time : 19 : 15. Cost: 0.062285604898426494৳ . Ride Car from  (90.368726, 23.806756) to (90.36875400000001, 23.806656)
Time : 19 : 15. Cost: 0.18016182551301843৳ . Ride Car from  (90.36875400000001, 23.806656) to (90.368835, 23.806442)
Time : 19 : 15. Cost: 0.4781898799877664৳ . Ride Car from  (90.368835, 23.806442) to (90.36905, 23.805951)
Time : 19 : 15. Cost: 0.07562080537615921৳ . Ride Car from  (90.36905, 23.805951) to (90.369084, 23.805873000000002)
Time : 19 : 15. Cost: 0.3091558984316584৳ . Ride Car from  (90.369084, 23.805873000000002) to (90.369223, 23.805553)
Time : 19 : 15. Cost: 0.14456917794094687৳ . Ride Car from  (90.369223, 23.805553) to (90.369288, 23.805404)
Time : 19 : 15. Cost: 0.453713197507205৳ . Ride Car from  (90.369288, 23.805404) to (90.36949200000001, 23.804995)
Time : 19 : 15. Cost: 0.400335230814548৳ . Ride Car from  (90.36949200000001, 23.804995) to (90.369672, 23.804634)
Time : 19 : 16. Cost: 0.15346159158615302৳ . Ride Car from  (90.369672, 23.804634) to (90.369741, 23.804497)
Time : 19 : 16. Cost: 0.2112879603258973৳ . Ride Car from  (90.369741, 23.804497) to (90.36983599999999, 23.804307)
Time : 19 : 16. Cost: 0.22685692952082886৳ . Ride Car from  (90.36983599999999, 23.804307) to (90.369938, 23.804101)
Time : 19 : 16. Cost: 0.39811067191606375৳ . Ride Car from  (90.369938, 23.804101) to (90.37011700000001, 23.803745000000003)
Time : 19 : 16. Cost: 0.09341134951564131৳ . Ride Car from  (90.37011700000001, 23.803745000000003) to (90.370159, 23.803662)
Time : 19 : 16. Cost: 0.1089835549549313৳ . Ride Car from  (90.370159, 23.803662) to (90.37020799999999, 23.803547000000002)
Time : 19 : 16. Cost: 0.1979504163449447৳ . Ride Car from  (90.37020799999999, 23.803547000000002) to (90.370297, 23.803335)
Time : 19 : 16. Cost: 0.09119028024084151৳ . Ride Car from  (90.370297, 23.803335) to (90.370338, 23.803239)
Time : 19 : 16. Cost: 0.3225029919085037৳ . Ride Car from  (90.370338, 23.803239) to (90.370483, 23.802896)
Time : 19 : 16. Cost: 0.18015607068537445৳ . Ride Car from  (90.370483, 23.802896) to (90.370564, 23.802708)
Time : 19 : 16. Cost: 0.08006924802880994৳ . Ride Car from  (90.370564, 23.802708) to (90.3706, 23.802625)
Time : 19 : 16. Cost: 0.5248999345338039৳ . Ride Car from  (90.3706, 23.802625) to (90.370836, 23.802073999999998)
Time : 19 : 16. Cost: 0.1312252686585808৳ . Ride Car from  (90.370836, 23.802073999999998) to (90.37089499999999, 23.801935)
Time : 19 : 16. Cost: 0.3825545619836809৳ . Ride Car from  (90.37089499999999, 23.801935) to (90.37106700000001, 23.801532)
Time : 19 : 16. Cost: 0.2891408518580473৳ . Ride Car from  (90.37106700000001, 23.801532) to (90.371197, 23.801223999999998)
Time : 19 : 16. Cost: 0.30915759051292674৳ . Ride Car from  (90.371197, 23.801223999999998) to (90.371336, 23.800898)
Time : 19 : 16. Cost: 0.1734843612119461৳ . Ride Car from  (90.371336, 23.800898) to (90.371414, 23.800714000000003)
Time : 19 : 16. Cost: 0.15346677282059606৳ . Ride Car from  (90.371414, 23.800714000000003) to (90.371483, 23.800552)
Time : 19 : 16. Cost: 0.03781112518636141৳ . Ride Car from  (90.371483, 23.800552) to (90.3715, 23.80051)
Time : 19 : 16. Cost: 0.08006907879228295৳ . Ride Car from  (90.3715, 23.80051) to (90.37153599999999, 23.800428)
Time : 19 : 16. Cost: 0.44260663522790666৳ . Ride Car from  (90.37153599999999, 23.800428) to (90.371735, 23.799963)
Time : 19 : 16. Cost: 0.5137792421735685৳ . Ride Car from  (90.371735, 23.799963) to (90.371966, 23.799425)
Time : 19 : 16. Cost: 0.21129901771438597৳ . Ride Car from  (90.371966, 23.799425) to (90.372061, 23.799184)
Time : 19 : 16. Cost: 0.28024081662965433৳ . Ride Car from  (90.372061, 23.799184) to (90.372187, 23.798902)
Time : 19 : 16. Cost: 0.5093336552635215৳ . Ride Car from  (90.372187, 23.798902) to (90.372416, 23.798357)
Time : 19 : 16. Cost: 0.838514628626052৳ . Ride Car from  (90.372416, 23.798357) to (90.372793, 23.797439999999998)
Time : 19 : 16. Cost: 0.13344929065372682৳ . Ride Car from  (90.372793, 23.797439999999998) to (90.372853, 23.7973)
Time : 19 : 16. Cost: 0.20017483270022124৳ . Ride Car from  (90.372853, 23.7973) to (90.372943, 23.797086)
Time : 19 : 16. Cost: 0.5337985686257001৳ . Ride Car from  (90.372943, 23.797086) to (90.373183, 23.79652)
Time : 19 : 16. Cost: 0.05560403148346116৳ . Ride Car from  (90.373183, 23.79652) to (90.37320799999999, 23.796460999999997)
Time : 19 : 16. Cost: 0.20017376953754445৳ . Ride Car from  (90.37320799999999, 23.796460999999997) to (90.37329799999999, 23.796252)
Time : 19 : 16. Cost: 0.5471425146362808৳ . Ride Car from  (90.37329799999999, 23.796252) to (90.373544, 23.795676999999998)
Time : 19 : 16. Cost: 0.2290877651267007৳ . Ride Car from  (90.373544, 23.795676999999998) to (90.37364699999999, 23.795438)
Time : 19 : 16. Cost: 0.2313125242975507৳ . Ride Car from  (90.37364699999999, 23.795438) to (90.373751, 23.795194)
Time : 19 : 16. Cost: 0.16458785232667025৳ . Ride Car from  (90.373751, 23.795194) to (90.373825, 23.79502)
Time : 19 : 16. Cost: 0.06894855181016454৳ . Ride Car from  (90.373825, 23.79502) to (90.373856, 23.794949)
Time : 19 : 16. Cost: 0.313611544279941৳ . Ride Car from  (90.373856, 23.794949) to (90.373997, 23.794596)
Time : 19 : 16. Cost: 0.42482108305580074৳ . Ride Car from  (90.373997, 23.794596) to (90.374188, 23.794119)
Time : 19 : 17. Cost: 0.1868289488921342৳ . Ride Car from  (90.374188, 23.794119) to (90.37427199999999, 23.793924)
Time : 19 : 17. Cost: 0.3669847971642487৳ . Ride Car from  (90.37427199999999, 23.793924) to (90.374437, 23.793544)
Time : 19 : 17. Cost: 0.08896577318446802৳ . Ride Car from  (90.374437, 23.793544) to (90.374477, 23.793453)
Time : 19 : 17. Cost: 0.21796573351927906৳ . Ride Car from  (90.374477, 23.793453) to (90.374575, 23.793232)
Time : 19 : 17. Cost: 0.46708133565385385৳ . Ride Car from  (90.374575, 23.793232) to (90.374785, 23.792706)
Time : 19 : 17. Cost: 0.08007129152802772৳ . Ride Car from  (90.374785, 23.792706) to (90.374821, 23.792614999999998)
Time : 19 : 17. Cost: 0.05338000679128742৳ . Ride Car from  (90.374821, 23.792614999999998) to (90.374845, 23.792558)
