Problem no : 4
Source:  (90.401026, 23.876867)
Destination:  (90.37866, 23.77485)
Time : 19 : 14. Cost: 0.4560489642510928৳ . Ride Car from Source (90.401026, 23.876867) to (90.400821, 23.876116)
Time : 19 : 14. Cost: 0.08898493241262617৳ . Ride Car from  (90.400821, 23.876116) to (90.40078100000001, 23.875970000000002)
Time : 19 : 14. Cost: 0.42303836810866297৳ . Ride Car from  (90.40078100000001, 23.875970000000002) to (90.400591, 23.874651)
Time : 19 : 14. Cost: 0.12130470466174306৳ . Ride Car from  (90.400591, 23.874651) to (90.400645, 23.87355)
Time : 19 : 14. Cost: 0.04718480748549629৳ . Ride Car from  (90.400645, 23.87355) to (90.400666, 23.873117)
Time : 19 : 14. Cost: 0.06502747422686961৳ . Ride Car from  (90.400666, 23.873117) to (90.400637, 23.872582)
Time : 19 : 14. Cost: 0.09149247305174049৳ . Ride Car from  (90.400637, 23.872582) to (90.400596, 23.872096)
Time : 19 : 14. Cost: 0.1427193237883025৳ . Ride Car from  (90.400596, 23.872096) to (90.400532, 23.871418)
Time : 19 : 14. Cost: 0.0670018007070476৳ . Ride Car from  (90.400532, 23.871418) to (90.400502, 23.871021)
Time : 19 : 14. Cost: 0.2236363447943501৳ . Ride Car from  (90.400502, 23.871021) to (90.400402, 23.869504)
Time : 19 : 14. Cost: 0.15979677297168132৳ . Ride Car from  (90.400402, 23.869504) to (90.40033100000001, 23.867923)
Time : 19 : 14. Cost: 0.3882738524442781৳ . Ride Car from  (90.40033100000001, 23.867923) to (90.40015799999999, 23.864556)
Time : 19 : 14. Cost: 0.05149979967788672৳ . Ride Car from  (90.40015799999999, 23.864556) to (90.40013499999999, 23.86417)
Time : 19 : 14. Cost: 0.23904658691199387৳ . Ride Car from  (90.40013499999999, 23.86417) to (90.400028, 23.862702)
Time : 19 : 14. Cost: 0.8150089687211461৳ . Ride Car from  (90.400028, 23.862702) to (90.40039399999999, 23.860737)
Time : 19 : 14. Cost: 9.736624714920943৳ . Ride Car from  (90.40039399999999, 23.860737) to (90.404772, 23.855135999999998)
Time : 19 : 15. Cost: 0.45369123988393206৳ . Ride Car from  (90.404772, 23.855135999999998) to (90.404976, 23.854894)
Time : 19 : 15. Cost: 0.23574143497726632৳ . Ride Car from  (90.404976, 23.854894) to (90.405082, 23.854769)
Time : 19 : 15. Cost: 28.400355185449033৳ . Ride Car from  (90.405082, 23.854769) to (90.417852, 23.838712)
Time : 19 : 16. Cost: 1.1455612628747855৳ . Ride Car from  (90.417852, 23.838712) to (90.418367, 23.837227)
Time : 19 : 16. Cost: 0.9499572983573706৳ . Ride Car from  (90.418367, 23.837227) to (90.41879399999999, 23.835634)
Time : 19 : 16. Cost: 1.0150333214824376৳ . Ride Car from  (90.41879399999999, 23.835634) to (90.41925, 23.832955)
Time : 19 : 17. Cost: 1.5626525653706063৳ . Ride Car from  (90.41925, 23.832955) to (90.419952, 23.828785999999997)
Time : 19 : 17. Cost: 1.5015857294186228৳ .  Ride Uttara Bus from  Khilkhet(90.419952, 23.828785999999997) to  Kuril (90.419038, 23.821667)
Time : 19 : 18. Cost: 3.160978182477818৳ .  Ride Uttara Bus from  Kuril(90.419038, 23.821667) to  Shewra (90.41497700000001, 23.818866)
Time : 19 : 19. Cost: 7.74398242257021৳ .  Ride Uttara Bus from  Shewra(90.41497700000001, 23.818866) to MES Busstop (90.405028, 23.816025)
Time : 19 : 19. Cost: 2.140136648811307৳ . Ride Car from  (90.405028, 23.816025) to (90.404066, 23.812829999999998)
Time : 19 : 19. Cost: 4.44742253388634৳ . Ride Car from  (90.404066, 23.812829999999998) to (90.402068, 23.800666)
Time : 19 : 20. Cost: 0.18250709732469178৳ . Ride Car from  (90.402068, 23.800666) to (90.401986, 23.800196)
Time : 19 : 20. Cost: 0.37620379360693346৳ . Ride Car from  (90.401986, 23.800196) to (90.40181700000001, 23.799134)
Time : 19 : 20. Cost: 0.7812758915001806৳ . Ride Car from  (90.40181700000001, 23.799134) to (90.401466, 23.797032)
Time : 19 : 20. Cost: 0.9348433837727831৳ . Ride Car from  (90.401466, 23.797032) to (90.401046, 23.794539999999998)
Time : 19 : 20. Cost: 1.0229958122469693৳ . Ride Car from  (90.401046, 23.794539999999998) to (90.400586, 23.794395)
Time : 19 : 20. Cost: 0.33156812602230346৳ . Ride Car from  (90.400586, 23.794395) to (90.400437, 23.793641)
Time : 19 : 20. Cost: 1.055116011620976৳ . Ride Car from  (90.400437, 23.793641) to (90.399963, 23.790702)
Time : 19 : 20. Cost: 0.031183088987950427৳ . Ride Car from  (90.399963, 23.790702) to (90.39994899999999, 23.790589999999998)
Time : 19 : 20. Cost: 0.03117803121085419৳ . Ride Car from  (90.39994899999999, 23.790589999999998) to (90.399935, 23.790484)
Time : 19 : 20. Cost: 4.402987953875884৳ . Ride Car from  (90.399935, 23.790484) to (90.39795699999999, 23.778191)
Time : 19 : 21. Cost: 0.4892576774454271৳ . Ride Car from  (90.39795699999999, 23.778191) to (90.397737, 23.778192)
Time : 19 : 21. Cost: 0.6633477515428022৳ . Ride Car from  (90.397737, 23.778192) to (90.397439, 23.776325)
Time : 19 : 21. Cost: 0.14689491030589577৳ . Ride Car from  (90.397439, 23.776325) to (90.397373, 23.775944)
Time : 19 : 21. Cost: 0.040058699181084935৳ . Ride Car from  (90.397373, 23.775944) to (90.397355, 23.775845999999998)
Time : 19 : 21. Cost: 0.3427798367191421৳ . Ride Car from  (90.397355, 23.775845999999998) to (90.397201, 23.774917000000002)
Time : 19 : 21. Cost: 0.31388189512290987৳ . Ride Car from  (90.397201, 23.774917000000002) to (90.39706, 23.774009)
Time : 19 : 21. Cost: 0.46967119362076426৳ . Ride Car from  (90.39706, 23.774009) to (90.396849, 23.772707)
Time : 19 : 21. Cost: 0.25154100919708683৳ . Ride Car from  (90.396849, 23.772707) to (90.396736, 23.771993)
Time : 19 : 21. Cost: 0.19592684814295042৳ . Ride Car from  (90.396736, 23.771993) to (90.396648, 23.771385000000002)
Time : 19 : 21. Cost: 0.22262040086022028৳ . Ride Car from  (90.396648, 23.771385000000002) to (90.396548, 23.770726999999997)
Time : 19 : 21. Cost: 0.37620408746477346৳ . Ride Car from  (90.396548, 23.770726999999997) to (90.39637900000001, 23.76965)
Time : 19 : 21. Cost: 0.0890377226438331৳ . Ride Car from  (90.39637900000001, 23.76965) to (90.396339, 23.769402)
Time : 19 : 21. Cost: 0.11129128435681199৳ . Ride Car from  (90.396339, 23.769402) to (90.396289, 23.769101000000003)
Time : 19 : 21. Cost: 0.1357657977679847৳ . Ride Car from  (90.396289, 23.769101000000003) to (90.39622800000001, 23.768749)
Time : 19 : 21. Cost: 0.09792463764691255৳ . Ride Car from  (90.39622800000001, 23.768749) to (90.39618399999999, 23.768503)
Time : 19 : 21. Cost: 0.9591400325562173৳ . Ride Car from  (90.39618399999999, 23.768503) to (90.395753, 23.766223999999998)
Time : 19 : 21. Cost: 1.1368868686770668৳ . Ride Car from  (90.395753, 23.766223999999998) to (90.39524200000001, 23.764084)
Time : 19 : 21. Cost: 0.3716779778671855৳ . Ride Car from  (90.39524200000001, 23.764084) to (90.395075, 23.763132000000002)
Time : 19 : 21. Cost: 2.270637129006046৳ . Ride Car from  (90.395075, 23.763132000000002) to (90.394054, 23.762466)
Time : 19 : 22. Cost: 1.5078083201285761৳ . Ride Car from  (90.394054, 23.762466) to (90.393376, 23.762723)
Time : 19 : 22. Cost: 0.7116484267369114৳ . Ride Car from  (90.393376, 23.762723) to (90.393056, 23.762797)
Time : 19 : 22. Cost: 0.24685325040334827৳ . Ride Car from  (90.393056, 23.762797) to (90.392945, 23.762829999999997)
Time : 19 : 22. Cost: 0.47813924359392496৳ . Ride Car from  (90.392945, 23.762829999999997) to (90.39273, 23.762895999999998)
Time : 19 : 22. Cost: 1.2120272126128697৳ . Ride Car from  (90.39273, 23.762895999999998) to (90.392185, 23.763057999999997)
Time : 19 : 22. Cost: 0.8873371217367108৳ . Ride Car from  (90.392185, 23.763057999999997) to (90.391786, 23.763169)
Time : 19 : 22. Cost: 0.6137984845671239৳ . Ride Car from  (90.391786, 23.763169) to (90.39151, 23.763284)
Time : 19 : 22. Cost: 0.8206284298640855৳ . Ride Car from  (90.39151, 23.763284) to (90.391141, 23.763548999999998)
