Problem no : 5
Source:  (90.40023, 23.87596)
Destination:  (90.367982, 23.835966)
Time : 19 : 14. Cost: 5.561916071116058e-05Time.  Walk from Source (90.40023, 23.87596) to  (90.40022900000001, 23.875956)
Time : 19 : 14. Cost: 0.0034248038470818913time . Ride Car from  (90.40001600000001, 23.874631) to (90.400324, 23.874642)
Time : 19 : 14. Cost: 0.0022380122491815974time . Ride Car from  (90.400324, 23.874642) to (90.400314, 23.871420999999998)
Time : 19 : 14. Cost: 0.002424049412104469time . Ride Car from  (90.400314, 23.871420999999998) to (90.400532, 23.871418)
Time : 19 : 15. Cost: 0.000335009003535238time . Ride Car from  (90.400532, 23.871418) to (90.400502, 23.871021)
Time : 19 : 15. Cost: 0.0011181817239717504time . Ride Car from  (90.400502, 23.871021) to (90.400402, 23.869504)
Time : 19 : 15. Cost: 0.0007989838648584065time . Ride Car from  (90.400402, 23.869504) to (90.40033100000001, 23.867923)
Time : 19 : 15. Cost: 0.0019413692622213905time . Ride Car from  (90.40033100000001, 23.867923) to (90.40015799999999, 23.864556)
Time : 19 : 15. Cost: 0.0002574989983894336time . Ride Car from  (90.40015799999999, 23.864556) to (90.40013499999999, 23.86417)
Time : 19 : 15. Cost: 0.0011952329345599694time . Ride Car from  (90.40013499999999, 23.86417) to (90.400028, 23.862702)
Time : 19 : 15. Cost: 0.004075044843605731time . Ride Car from  (90.400028, 23.862702) to (90.40039399999999, 23.860737)
Time : 19 : 15. Cost: 0.04868312357460471time . Ride Car from  (90.40039399999999, 23.860737) to (90.404772, 23.855135999999998)
Time : 19 : 16. Cost: 0.0022684561994196603time . Ride Car from  (90.404772, 23.855135999999998) to (90.404976, 23.854894)
Time : 19 : 16. Cost: 0.0011787071748863317time . Ride Car from  (90.404976, 23.854894) to (90.405082, 23.854769)
Time : 19 : 16. Cost: 0.14200177592724517time . Ride Car from  (90.405082, 23.854769) to (90.417852, 23.838712)
Time : 19 : 17. Cost: 0.005727806314373928time . Ride Car from  (90.417852, 23.838712) to (90.418367, 23.837227)
Time : 19 : 17. Cost: 0.004749786491786853time . Ride Car from  (90.418367, 23.837227) to (90.41879399999999, 23.835634)
Time : 19 : 17. Cost: 0.005075166607412188time . Ride Car from  (90.41879399999999, 23.835634) to (90.41925, 23.832955)
Time : 19 : 18. Cost: 0.007813262826853032time . Ride Car from  (90.41925, 23.832955) to (90.419952, 23.828785999999997)
Time : 19 : 18. Cost: 0.0035951349339516754time . Ride Car from  (90.419952, 23.828785999999997) to (90.420275, 23.826829999999998)
Time : 19 : 18. Cost: 0.004244913722189806time . Ride Car from  (90.420275, 23.826829999999998) to (90.420262, 23.823607)
Time : 19 : 19. Cost: 0.013611222230599334time . Ride Car from  (90.420262, 23.823607) to (90.419038, 23.821667)
Time : 19 : 20. Cost: 0.010096659012388112time . Ride Car from  (90.419038, 23.821667) to (90.41813, 23.820968)
Time : 19 : 20. Cost: 0.008606588988242415time . Ride Car from  (90.41813, 23.820968) to (90.41735600000001, 23.820452)
Time : 19 : 21. Cost: 0.026453583177624012time . Ride Car from  (90.41735600000001, 23.820452) to (90.41497700000001, 23.818866)
Time : 19 : 21. Cost: 0.047258176957572666time . Ride Car from  (90.41497700000001, 23.818866) to (90.41072700000001, 23.816886)
Time : 19 : 22. Cost: 0.014155114280339434time . Ride Car from  (90.41072700000001, 23.816886) to (90.409454, 23.816909)
Time : 19 : 23. Cost: 0.04921505464902508time . Ride Car from  (90.409454, 23.816909) to (90.405028, 23.816025)
Time : 19 : 24. Cost: 0.010700683244056536time . Ride Car from  (90.405028, 23.816025) to (90.404066, 23.812829999999998)
Time : 19 : 25. Cost: 0.0222371126694317time . Ride Car from  (90.404066, 23.812829999999998) to (90.402068, 23.800666)
Time : 19 : 25. Cost: 0.000912535486623459time . Ride Car from  (90.402068, 23.800666) to (90.401986, 23.800196)
Time : 19 : 25. Cost: 0.0018810189680346673time . Ride Car from  (90.401986, 23.800196) to (90.40181700000001, 23.799134)
Time : 19 : 25. Cost: 0.003906379457500903time . Ride Car from  (90.40181700000001, 23.799134) to (90.401466, 23.797032)
Time : 19 : 25. Cost: 0.004674216918863916time . Ride Car from  (90.401466, 23.797032) to (90.401046, 23.794539999999998)
Time : 19 : 26. Cost: 0.0051149790612348475time . Ride Car from  (90.401046, 23.794539999999998) to (90.400586, 23.794395)
Time : 19 : 26. Cost: 0.001657840630111517time . Ride Car from  (90.400586, 23.794395) to (90.400437, 23.793641)
Time : 19 : 26. Cost: 0.00527558005810488time . Ride Car from  (90.400437, 23.793641) to (90.399963, 23.790702)
Time : 19 : 26. Cost: 0.00015591544493975216time . Ride Car from  (90.399963, 23.790702) to (90.39994899999999, 23.790589999999998)
Time : 19 : 26. Cost: 0.00015589015605427096time . Ride Car from  (90.39994899999999, 23.790589999999998) to (90.399935, 23.790484)
Time : 19 : 26. Cost: 0.02201493976937942time . Ride Car from  (90.399935, 23.790484) to (90.39795699999999, 23.778191)
Time : 19 : 27. Cost: 0.0024462883872271354time . Ride Car from  (90.39795699999999, 23.778191) to (90.397737, 23.778192)
Time : 19 : 27. Cost: 0.0033167387577140114time . Ride Car from  (90.397737, 23.778192) to (90.397439, 23.776325)
Time : 19 : 27. Cost: 0.0007344745515294788time . Ride Car from  (90.397439, 23.776325) to (90.397373, 23.775944)
Time : 19 : 27. Cost: 0.00020029349590542468time . Ride Car from  (90.397373, 23.775944) to (90.397355, 23.775845999999998)
Time : 19 : 27. Cost: 0.0017138991835957105time . Ride Car from  (90.397355, 23.775845999999998) to (90.397201, 23.774917000000002)
Time : 19 : 27. Cost: 0.0015694094756145492time . Ride Car from  (90.397201, 23.774917000000002) to (90.39706, 23.774009)
Time : 19 : 27. Cost: 0.0023483559681038214time . Ride Car from  (90.39706, 23.774009) to (90.396849, 23.772707)
Time : 19 : 27. Cost: 0.0012577050459854342time . Ride Car from  (90.396849, 23.772707) to (90.396736, 23.771993)
Time : 19 : 27. Cost: 0.000979634240714752time . Ride Car from  (90.396736, 23.771993) to (90.396648, 23.771385000000002)
Time : 19 : 27. Cost: 0.0011131020043011013time . Ride Car from  (90.396648, 23.771385000000002) to (90.396548, 23.770726999999997)
Time : 19 : 28. Cost: 0.0018810204373238674time . Ride Car from  (90.396548, 23.770726999999997) to (90.39637900000001, 23.76965)
Time : 19 : 28. Cost: 0.00044518861321916545time . Ride Car from  (90.39637900000001, 23.76965) to (90.396339, 23.769402)
Time : 19 : 28. Cost: 0.0005564564217840599time . Ride Car from  (90.396339, 23.769402) to (90.396289, 23.769101000000003)
Time : 19 : 28. Cost: 0.0006788289888399236time . Ride Car from  (90.396289, 23.769101000000003) to (90.39622800000001, 23.768749)
Time : 19 : 28. Cost: 0.0004896231882345627time . Ride Car from  (90.39622800000001, 23.768749) to (90.39618399999999, 23.768503)
Time : 19 : 28. Cost: 0.004795700162781086time . Ride Car from  (90.39618399999999, 23.768503) to (90.395753, 23.766223999999998)
Time : 19 : 28. Cost: 0.0056844343433853336time . Ride Car from  (90.395753, 23.766223999999998) to (90.39524200000001, 23.764084)
Time : 19 : 28. Cost: 0.0018583898893359274time . Ride Car from  (90.39524200000001, 23.764084) to (90.395075, 23.763132000000002)
Time : 19 : 29. Cost: 0.011353185645030229time . Ride Car from  (90.395075, 23.763132000000002) to (90.394054, 23.762466)
Time : 19 : 29. Cost: 0.007539041600642881time . Ride Car from  (90.394054, 23.762466) to (90.393376, 23.762723)
Time : 19 : 30. Cost: 0.003558242133684557time . Ride Car from  (90.393376, 23.762723) to (90.393056, 23.762797)
Time : 19 : 30. Cost: 0.0012342662520167414time . Ride Car from  (90.393056, 23.762797) to (90.392945, 23.762829999999997)
Time : 19 : 30. Cost: 0.002390696217969625time . Ride Car from  (90.392945, 23.762829999999997) to (90.39273, 23.762895999999998)
Time : 19 : 30. Cost: 0.006060136063064349time . Ride Car from  (90.39273, 23.762895999999998) to (90.392185, 23.763057999999997)
Time : 19 : 30. Cost: 0.004436685608683553time . Ride Car from  (90.392185, 23.763057999999997) to (90.391786, 23.763169)
Time : 19 : 31. Cost: 0.0030689924228356194time . Ride Car from  (90.391786, 23.763169) to (90.39151, 23.763284)
Time : 19 : 31. Cost: 0.004103142149320427time . Ride Car from  (90.39151, 23.763284) to (90.391141, 23.763548999999998)
Time : 19 : 31. Cost: 0.007339048516164426time . Ride Car from  (90.391141, 23.763548999999998) to (90.39048100000001, 23.764232999999997)
Time : 19 : 32. Cost: 0.010140981445971252time . Ride Car from  (90.39048100000001, 23.764232999999997) to (90.389569, 23.764112)
Time : 19 : 32. Cost: 0.0051483283908678time . Ride Car from  (90.389569, 23.764112) to (90.38910600000001, 23.764035)
Time : 19 : 33. Cost: 0.0005120922870283883time . Ride Car from  (90.38910600000001, 23.764035) to (90.38906, 23.764362)
Time : 19 : 33. Cost: 0.038851530171568time . Ride Car from  (90.38906, 23.764362) to (90.385566, 23.764922)
Time : 19 : 33. Cost: 0.013321159854798287time . Ride Car from  (90.385566, 23.764922) to (90.38436800000001, 23.765113)
Time : 19 : 34. Cost: 0.010863744456875605time . Ride Car from  (90.38436800000001, 23.765113) to (90.383391, 23.765135)
Time : 19 : 34. Cost: 0.0015918266592510513time . Ride Car from  (90.383391, 23.765135) to (90.383248, 23.766135000000002)
Time : 19 : 34. Cost: 0.0007018593835878918time . Ride Car from  (90.383248, 23.766135000000002) to (90.383185, 23.766716)
Time : 19 : 34. Cost: 0.0012519628475213362time . Ride Car from  (90.383185, 23.766716) to (90.383073, 23.76844)
