Problem no : 5
Source:  (90.401026, 23.876867)
Destination:  (90.37866, 23.77485)
Time : 19 : 14. Cost: 0.002280244821255464time . Ride Car from Source (90.401026, 23.876867) to (90.400821, 23.876116)
Time : 19 : 14. Cost: 0.0004449246620631309time . Ride Car from  (90.400821, 23.876116) to (90.40078100000001, 23.875970000000002)
Time : 19 : 14. Cost: 0.002115191840543315time . Ride Car from  (90.40078100000001, 23.875970000000002) to (90.400591, 23.874651)
Time : 19 : 14. Cost: 0.0006065235233087154time . Ride Car from  (90.400591, 23.874651) to (90.400645, 23.87355)
Time : 19 : 14. Cost: 0.00023592403742748146time . Ride Car from  (90.400645, 23.87355) to (90.400666, 23.873117)
Time : 19 : 14. Cost: 0.00032513737113434805time . Ride Car from  (90.400666, 23.873117) to (90.400637, 23.872582)
Time : 19 : 14. Cost: 0.0004574623652587024time . Ride Car from  (90.400637, 23.872582) to (90.400596, 23.872096)
Time : 19 : 14. Cost: 0.0007135966189415125time . Ride Car from  (90.400596, 23.872096) to (90.400532, 23.871418)
Time : 19 : 14. Cost: 0.000335009003535238time . Ride Car from  (90.400532, 23.871418) to (90.400502, 23.871021)
Time : 19 : 14. Cost: 0.0011181817239717504time . Ride Car from  (90.400502, 23.871021) to (90.400402, 23.869504)
Time : 19 : 15. Cost: 0.0007989838648584065time . Ride Car from  (90.400402, 23.869504) to (90.40033100000001, 23.867923)
Time : 19 : 15. Cost: 0.0019413692622213905time . Ride Car from  (90.40033100000001, 23.867923) to (90.40015799999999, 23.864556)
Time : 19 : 15. Cost: 0.0002574989983894336time . Ride Car from  (90.40015799999999, 23.864556) to (90.40013499999999, 23.86417)
Time : 19 : 15. Cost: 0.0011952329345599694time . Ride Car from  (90.40013499999999, 23.86417) to (90.400028, 23.862702)
Time : 19 : 15. Cost: 0.004075044843605731time . Ride Car from  (90.400028, 23.862702) to (90.40039399999999, 23.860737)
Time : 19 : 15. Cost: 0.04868312357460471time . Ride Car from  (90.40039399999999, 23.860737) to (90.404772, 23.855135999999998)
Time : 19 : 16. Cost: 0.0022684561994196603time . Ride Car from  (90.404772, 23.855135999999998) to (90.404976, 23.854894)
Time : 19 : 16. Cost: 0.0011787071748863317time . Ride Car from  (90.404976, 23.854894) to (90.405082, 23.854769)
Time : 19 : 16. Cost: 0.14200177592724517time . Ride Car from  (90.405082, 23.854769) to (90.417852, 23.838712)
Time : 19 : 17. Cost: 0.005727806314373928time . Ride Car from  (90.417852, 23.838712) to (90.418367, 23.837227)
Time : 19 : 17. Cost: 0.004749786491786853time . Ride Car from  (90.418367, 23.837227) to (90.41879399999999, 23.835634)
Time : 19 : 17. Cost: 0.005075166607412188time . Ride Car from  (90.41879399999999, 23.835634) to (90.41925, 23.832955)
Time : 19 : 18. Cost: 0.007813262826853032time . Ride Car from  (90.41925, 23.832955) to (90.419952, 23.828785999999997)
Time : 19 : 18. Cost: 0.0035951349339516754time . Ride Car from  (90.419952, 23.828785999999997) to (90.420275, 23.826829999999998)
Time : 19 : 18. Cost: 0.004244913722189806time . Ride Car from  (90.420275, 23.826829999999998) to (90.420262, 23.823607)
Time : 19 : 19. Cost: 0.013611222230599334time . Ride Car from  (90.420262, 23.823607) to (90.419038, 23.821667)
Time : 19 : 19. Cost: 0.010096659012388112time . Ride Car from  (90.419038, 23.821667) to (90.41813, 23.820968)
Time : 19 : 20. Cost: 0.008606588988242415time . Ride Car from  (90.41813, 23.820968) to (90.41735600000001, 23.820452)
Time : 19 : 20. Cost: 0.026453583177624012time . Ride Car from  (90.41735600000001, 23.820452) to (90.41497700000001, 23.818866)
Time : 19 : 21. Cost: 0.047258176957572666time . Ride Car from  (90.41497700000001, 23.818866) to (90.41072700000001, 23.816886)
Time : 19 : 22. Cost: 0.014155114280339434time . Ride Car from  (90.41072700000001, 23.816886) to (90.409454, 23.816909)
Time : 19 : 23. Cost: 0.04921505464902508time . Ride Car from  (90.409454, 23.816909) to (90.405028, 23.816025)
Time : 19 : 24. Cost: 0.010700683244056536time . Ride Car from  (90.405028, 23.816025) to (90.404066, 23.812829999999998)
Time : 19 : 24. Cost: 0.0222371126694317time . Ride Car from  (90.404066, 23.812829999999998) to (90.402068, 23.800666)
Time : 19 : 25. Cost: 0.000912535486623459time . Ride Car from  (90.402068, 23.800666) to (90.401986, 23.800196)
Time : 19 : 25. Cost: 0.0018810189680346673time . Ride Car from  (90.401986, 23.800196) to (90.40181700000001, 23.799134)
Time : 19 : 25. Cost: 0.003906379457500903time . Ride Car from  (90.40181700000001, 23.799134) to (90.401466, 23.797032)
Time : 19 : 25. Cost: 0.004674216918863916time . Ride Car from  (90.401466, 23.797032) to (90.401046, 23.794539999999998)
Time : 19 : 25. Cost: 0.0051149790612348475time . Ride Car from  (90.401046, 23.794539999999998) to (90.400586, 23.794395)
Time : 19 : 26. Cost: 0.001657840630111517time . Ride Car from  (90.400586, 23.794395) to (90.400437, 23.793641)
Time : 19 : 26. Cost: 0.00527558005810488time . Ride Car from  (90.400437, 23.793641) to (90.399963, 23.790702)
Time : 19 : 26. Cost: 0.00015591544493975216time . Ride Car from  (90.399963, 23.790702) to (90.39994899999999, 23.790589999999998)
Time : 19 : 26. Cost: 0.00015589015605427096time . Ride Car from  (90.39994899999999, 23.790589999999998) to (90.399935, 23.790484)
Time : 19 : 26. Cost: 0.02201493976937942time . Ride Car from  (90.399935, 23.790484) to (90.39795699999999, 23.778191)
Time : 19 : 26. Cost: 0.0024462883872271354time . Ride Car from  (90.39795699999999, 23.778191) to (90.397737, 23.778192)
Time : 19 : 27. Cost: 0.0033167387577140114time . Ride Car from  (90.397737, 23.778192) to (90.397439, 23.776325)
Time : 19 : 27. Cost: 0.0007344745515294788time . Ride Car from  (90.397439, 23.776325) to (90.397373, 23.775944)
Time : 19 : 27. Cost: 0.00020029349590542468time . Ride Car from  (90.397373, 23.775944) to (90.397355, 23.775845999999998)
Time : 19 : 27. Cost: 0.0017138991835957105time . Ride Car from  (90.397355, 23.775845999999998) to (90.397201, 23.774917000000002)
