Problem no : 5
Source:  (90.36295, 23.80874)
Destination:  (90.40737, 23.73176)
Time : 19 : 14. Cost: 0.0001668016859427224Time.  Walk from Source (90.36295, 23.80874) to  (90.362953, 23.808745000000002)
Time : 19 : 15. Cost: 0.002290617893863281time . Ride Car from  (90.363799, 23.808522) to (90.364005, 23.808569)
Time : 19 : 15. Cost: 0.003480405911828309time . Ride Car from  (90.364005, 23.808569) to (90.36431800000001, 23.80865)
Time : 19 : 15. Cost: 0.009740675604928766time . Ride Car from  (90.36431800000001, 23.80865) to (90.36519399999999, 23.808660999999997)
Time : 19 : 16. Cost: 0.010107618838455358time . Ride Car from  (90.36519399999999, 23.808660999999997) to (90.36610300000001, 23.808656)
Time : 19 : 16. Cost: 0.007272148628301224time . Ride Car from  (90.36610300000001, 23.808656) to (90.36675699999999, 23.808691)
Time : 19 : 17. Cost: 0.004525638465661394time . Ride Car from  (90.36675699999999, 23.808691) to (90.367164, 23.808785)
Time : 19 : 17. Cost: 0.000700837016039438time . Ride Car from  (90.367164, 23.808785) to (90.367227, 23.808493)
Time : 19 : 17. Cost: 0.010596885929008058time . Ride Car from  (90.367227, 23.808493) to (90.36818000000001, 23.808691)
Time : 19 : 17. Cost: 0.0006339721912489853time . Ride Car from  (90.36818000000001, 23.808691) to (90.368237, 23.808491)
Time : 19 : 18. Cost: 0.00031142455931575916time . Ride Car from  (90.368237, 23.808491) to (90.36826500000001, 23.808393)
Time : 19 : 18. Cost: 0.0024024297404584864time . Ride Car from  (90.36826500000001, 23.808393) to (90.368481, 23.80763)
Time : 19 : 18. Cost: 0.0016127406485024962time . Ride Car from  (90.368481, 23.80763) to (90.368626, 23.807119)
Time : 19 : 18. Cost: 0.00031143129957007353time . Ride Car from  (90.368626, 23.807119) to (90.368654, 23.807017000000002)
Time : 19 : 18. Cost: 0.0008008212506582625time . Ride Car from  (90.368654, 23.807017000000002) to (90.368726, 23.806756)
Time : 19 : 18. Cost: 0.0003114280244921325time . Ride Car from  (90.368726, 23.806756) to (90.36875400000001, 23.806656)
Time : 19 : 18. Cost: 0.0009008091275650922time . Ride Car from  (90.36875400000001, 23.806656) to (90.368835, 23.806442)
Time : 19 : 18. Cost: 0.002390949399938832time . Ride Car from  (90.368835, 23.806442) to (90.36905, 23.805951)
Time : 19 : 18. Cost: 0.0003781040268807961time . Ride Car from  (90.36905, 23.805951) to (90.369084, 23.805873000000002)
Time : 19 : 18. Cost: 0.0015457794921582921time . Ride Car from  (90.369084, 23.805873000000002) to (90.369223, 23.805553)
Time : 19 : 18. Cost: 0.0007228458897047343time . Ride Car from  (90.369223, 23.805553) to (90.369288, 23.805404)
Time : 19 : 18. Cost: 0.002268565987536025time . Ride Car from  (90.369288, 23.805404) to (90.36949200000001, 23.804995)
Time : 19 : 18. Cost: 0.0020016761540727402time . Ride Car from  (90.36949200000001, 23.804995) to (90.369672, 23.804634)
Time : 19 : 18. Cost: 0.000767307957930765time . Ride Car from  (90.369672, 23.804634) to (90.369741, 23.804497)
Time : 19 : 19. Cost: 0.0010564398016294865time . Ride Car from  (90.369741, 23.804497) to (90.36983599999999, 23.804307)
Time : 19 : 19. Cost: 0.0011342846476041443time . Ride Car from  (90.36983599999999, 23.804307) to (90.369938, 23.804101)
Time : 19 : 19. Cost: 0.0019905533595803186time . Ride Car from  (90.369938, 23.804101) to (90.37011700000001, 23.803745000000003)
Time : 19 : 19. Cost: 0.0004670567475782065time . Ride Car from  (90.37011700000001, 23.803745000000003) to (90.370159, 23.803662)
Time : 19 : 19. Cost: 0.0005449177747746564time . Ride Car from  (90.370159, 23.803662) to (90.37020799999999, 23.803547000000002)
Time : 19 : 19. Cost: 0.0009897520817247236time . Ride Car from  (90.37020799999999, 23.803547000000002) to (90.370297, 23.803335)
Time : 19 : 19. Cost: 0.00045595140120420756time . Ride Car from  (90.370297, 23.803335) to (90.370338, 23.803239)
Time : 19 : 19. Cost: 0.0016125149595425184time . Ride Car from  (90.370338, 23.803239) to (90.370483, 23.802896)
Time : 19 : 19. Cost: 0.0009007803534268723time . Ride Car from  (90.370483, 23.802896) to (90.370564, 23.802708)
Time : 19 : 19. Cost: 0.00040034624014404966time . Ride Car from  (90.370564, 23.802708) to (90.3706, 23.802625)
Time : 19 : 19. Cost: 0.0026244996726690196time . Ride Car from  (90.3706, 23.802625) to (90.370836, 23.802073999999998)
Time : 19 : 19. Cost: 0.0006561263432929041time . Ride Car from  (90.370836, 23.802073999999998) to (90.37089499999999, 23.801935)
Time : 19 : 19. Cost: 0.0019127728099184043time . Ride Car from  (90.37089499999999, 23.801935) to (90.37106700000001, 23.801532)
Time : 19 : 19. Cost: 0.0014457042592902363time . Ride Car from  (90.37106700000001, 23.801532) to (90.371197, 23.801223999999998)
Time : 19 : 20. Cost: 0.0015457879525646336time . Ride Car from  (90.371197, 23.801223999999998) to (90.371336, 23.800898)
Time : 19 : 20. Cost: 0.0008674218060597306time . Ride Car from  (90.371336, 23.800898) to (90.371414, 23.800714000000003)
Time : 19 : 20. Cost: 0.0007673338641029804time . Ride Car from  (90.371414, 23.800714000000003) to (90.371483, 23.800552)
Time : 19 : 20. Cost: 0.00018905562593180705time . Ride Car from  (90.371483, 23.800552) to (90.3715, 23.80051)
Time : 19 : 20. Cost: 0.00040034539396141474time . Ride Car from  (90.3715, 23.80051) to (90.37153599999999, 23.800428)
Time : 19 : 20. Cost: 0.002213033176139533time . Ride Car from  (90.37153599999999, 23.800428) to (90.371735, 23.799963)
Time : 19 : 20. Cost: 0.0025688962108678425time . Ride Car from  (90.371735, 23.799963) to (90.371966, 23.799425)
Time : 19 : 20. Cost: 0.00105649508857193time . Ride Car from  (90.371966, 23.799425) to (90.372061, 23.799184)
Time : 19 : 20. Cost: 0.0014012040831482715time . Ride Car from  (90.372061, 23.799184) to (90.372187, 23.798902)
Time : 19 : 20. Cost: 0.002546668276317607time . Ride Car from  (90.372187, 23.798902) to (90.372416, 23.798357)
Time : 19 : 20. Cost: 0.00419257314313026time . Ride Car from  (90.372416, 23.798357) to (90.372793, 23.797439999999998)
Time : 19 : 21. Cost: 0.0006672464532686341time . Ride Car from  (90.372793, 23.797439999999998) to (90.372853, 23.7973)
Time : 19 : 21. Cost: 0.0010008741635011062time . Ride Car from  (90.372853, 23.7973) to (90.372943, 23.797086)
Time : 19 : 21. Cost: 0.0026689928431285004time . Ride Car from  (90.372943, 23.797086) to (90.373183, 23.79652)
Time : 19 : 21. Cost: 0.0002780201574173058time . Ride Car from  (90.373183, 23.79652) to (90.37320799999999, 23.796460999999997)
Time : 19 : 21. Cost: 0.0010008688476877223time . Ride Car from  (90.37320799999999, 23.796460999999997) to (90.37329799999999, 23.796252)
Time : 19 : 21. Cost: 0.0027357125731814038time . Ride Car from  (90.37329799999999, 23.796252) to (90.373544, 23.795676999999998)
Time : 19 : 21. Cost: 0.0011454388256335035time . Ride Car from  (90.373544, 23.795676999999998) to (90.37364699999999, 23.795438)
Time : 19 : 21. Cost: 0.0011565626214877535time . Ride Car from  (90.37364699999999, 23.795438) to (90.373751, 23.795194)
Time : 19 : 21. Cost: 0.0008229392616333512time . Ride Car from  (90.373751, 23.795194) to (90.373825, 23.79502)
Time : 19 : 21. Cost: 0.0003447427590508227time . Ride Car from  (90.373825, 23.79502) to (90.373856, 23.794949)
Time : 19 : 21. Cost: 0.001568057721399705time . Ride Car from  (90.373856, 23.794949) to (90.373997, 23.794596)
Time : 19 : 21. Cost: 0.0021241054152790037time . Ride Car from  (90.373997, 23.794596) to (90.374188, 23.794119)
Time : 19 : 22. Cost: 0.000934144744460671time . Ride Car from  (90.374188, 23.794119) to (90.37427199999999, 23.793924)
Time : 19 : 22. Cost: 0.0018349239858212435time . Ride Car from  (90.37427199999999, 23.793924) to (90.374437, 23.793544)
Time : 19 : 22. Cost: 0.00044482886592234016time . Ride Car from  (90.374437, 23.793544) to (90.374477, 23.793453)
Time : 19 : 22. Cost: 0.0010898286675963954time . Ride Car from  (90.374477, 23.793453) to (90.374575, 23.793232)
Time : 19 : 22. Cost: 0.0023354066782692692time . Ride Car from  (90.374575, 23.793232) to (90.374785, 23.792706)
Time : 19 : 22. Cost: 0.0004003564576401386time . Ride Car from  (90.374785, 23.792706) to (90.374821, 23.792614999999998)
Time : 19 : 22. Cost: 0.0002669000339564371time . Ride Car from  (90.374821, 23.792614999999998) to (90.374845, 23.792558)
Time : 19 : 22. Cost: 0.0013456183936824849time . Ride Car from  (90.374845, 23.792558) to (90.374966, 23.792273)
Time : 19 : 22. Cost: 0.0007450958668218822time . Ride Car from  (90.374966, 23.792273) to (90.375033, 23.792114)
Time : 19 : 22. Cost: 0.0024132001004164693time . Ride Car from  (90.375033, 23.792114) to (90.37525, 23.791618)
Time : 19 : 22. Cost: 0.00014456991426168653time . Ride Car from  (90.37525, 23.791618) to (90.375263, 23.791588)
Time : 19 : 22. Cost: 0.001011987239797914time . Ride Car from  (90.375263, 23.791588) to (90.375354, 23.79138)
Time : 19 : 22. Cost: 0.002201906959919249time . Ride Car from  (90.375354, 23.79138) to (90.375552, 23.790927)
Time : 19 : 22. Cost: 0.002124060936109719time . Ride Car from  (90.375552, 23.790927) to (90.375743, 23.790491)
Time : 19 : 23. Cost: 0.0004781960395880999time . Ride Car from  (90.375743, 23.790491) to (90.375786, 23.790389)
Time : 19 : 23. Cost: 0.0018015578107704465time . Ride Car from  (90.375786, 23.790389) to (90.375948, 23.790021)
Time : 19 : 23. Cost: 0.0018571558400357208time . Ride Car from  (90.375948, 23.790021) to (90.376115, 23.789647)
Time : 19 : 23. Cost: 0.00020017216353182318time . Ride Car from  (90.376115, 23.789647) to (90.376133, 23.789607)
Time : 19 : 23. Cost: 0.0017904312615505639time . Ride Car from  (90.376133, 23.789607) to (90.376294, 23.789247)
Time : 19 : 23. Cost: 0.0016570153831617074time . Ride Car from  (90.376294, 23.789247) to (90.37644300000001, 23.788885)
Time : 19 : 23. Cost: 0.001045343855806203time . Ride Car from  (90.37644300000001, 23.788885) to (90.376537, 23.788676000000002)
Time : 19 : 23. Cost: 0.0005893972727795847time . Ride Car from  (90.376537, 23.788676000000002) to (90.37659000000001, 23.788557)
Time : 19 : 23. Cost: 0.002023971769006787time . Ride Car from  (90.37659000000001, 23.788557) to (90.376772, 23.788145)
Time : 19 : 23. Cost: 0.00028913791559123783time . Ride Car from  (90.376772, 23.788145) to (90.376798, 23.788087)
Time : 19 : 23. Cost: 0.003836664728721103time . Ride Car from  (90.376798, 23.788087) to (90.377143, 23.787293)
Time : 19 : 23. Cost: 0.0002557811757464365time . Ride Car from  (90.377143, 23.787293) to (90.377166, 23.787237)
Time : 19 : 23. Cost: 0.0025132970837635675time . Ride Car from  (90.377166, 23.787237) to (90.377392, 23.786714)
Time : 19 : 24. Cost: 0.0008785478503528848time . Ride Car from  (90.377392, 23.786714) to (90.377471, 23.786526000000002)
Time : 19 : 24. Cost: 0.001078724712900291time . Ride Car from  (90.377471, 23.786526000000002) to (90.37756800000001, 23.786294)
Time : 19 : 24. Cost: 0.002468834173406576time . Ride Car from  (90.37756800000001, 23.786294) to (90.37779, 23.785763)
Time : 19 : 24. Cost: 0.0020351183517881683time . Ride Car from  (90.37779, 23.785763) to (90.377973, 23.785327)
Time : 19 : 24. Cost: 0.0010675867389074271time . Ride Car from  (90.377973, 23.785327) to (90.378069, 23.785113)
Time : 19 : 24. Cost: 0.0007451129074831037time . Ride Car from  (90.378069, 23.785113) to (90.378136, 23.784941)
Time : 19 : 24. Cost: 0.000745110473097244time . Ride Car from  (90.378136, 23.784941) to (90.378203, 23.784771)
Time : 19 : 24. Cost: 0.0011010680025089947time . Ride Car from  (90.378203, 23.784771) to (90.378302, 23.784459)
Time : 19 : 24. Cost: 0.0022243812489309176time . Ride Car from  (90.378302, 23.784459) to (90.378502, 23.783828)
Time : 19 : 24. Cost: 0.0017126746097574548time . Ride Car from  (90.378502, 23.783828) to (90.378656, 23.783412)
Time : 19 : 24. Cost: 0.0004003652018251718time . Ride Car from  (90.378656, 23.783412) to (90.378692, 23.783314999999998)
Time : 19 : 25. Cost: 0.0014902877658008978time . Ride Car from  (90.378692, 23.783314999999998) to (90.378826, 23.782925)
Time : 19 : 25. Cost: 0.0005671985148657549time . Ride Car from  (90.378826, 23.782925) to (90.378877, 23.782777)
Time : 19 : 25. Cost: 0.0033811021908450303time . Ride Car from  (90.378877, 23.782777) to (90.379181, 23.781792000000003)
Time : 19 : 25. Cost: 0.0005227406250219085time . Ride Car from  (90.379181, 23.781792000000003) to (90.379228, 23.781637)
Time : 19 : 25. Cost: 0.003948375974442824time . Ride Car from  (90.379228, 23.781637) to (90.379583, 23.780457000000002)
Time : 19 : 25. Cost: 0.00010009823385097132time . Ride Car from  (90.379583, 23.780457000000002) to (90.379592, 23.780428)
Time : 19 : 25. Cost: 0.003358998723928071time . Ride Car from  (90.379592, 23.780428) to (90.379894, 23.779366)
Time : 19 : 25. Cost: 0.002035419552090191time . Ride Car from  (90.379894, 23.779366) to (90.380077, 23.778723)
Time : 19 : 25. Cost: 0.0040817515834473215time . Ride Car from  (90.380077, 23.778723) to (90.380444, 23.777563)
Time : 19 : 26. Cost: 0.002647020435405196time . Ride Car from  (90.380444, 23.777563) to (90.380682, 23.776812)
Time : 19 : 26. Cost: 0.0013679949634170826time . Ride Car from  (90.380682, 23.776812) to (90.38080500000001, 23.776426)
Time : 19 : 26. Cost: 0.007196193862835766time . Ride Car from  (90.38080500000001, 23.776426) to (90.381452, 23.774201)
Time : 19 : 26. Cost: 0.0024580505208273784time . Ride Car from  (90.381452, 23.774201) to (90.38167299999999, 23.773442000000003)
Time : 19 : 27. Cost: 0.0003447870684046285time . Ride Car from  (90.38167299999999, 23.773442000000003) to (90.381704, 23.77334)
Time : 19 : 27. Cost: 0.0020909612263192634time . Ride Car from  (90.381704, 23.77334) to (90.38189200000001, 23.772725)
Time : 19 : 27. Cost: 0.0029472819741063207time . Ride Car from  (90.38189200000001, 23.772725) to (90.38215699999999, 23.771912)
Time : 19 : 27. Cost: 0.0003781384346432947time . Ride Car from  (90.38215699999999, 23.771912) to (90.382191, 23.771810000000002)
Time : 19 : 27. Cost: 0.0030584761005450984time . Ride Car from  (90.382191, 23.771810000000002) to (90.38246600000001, 23.770982999999998)
Time : 19 : 27. Cost: 0.000367173112050182time . Ride Car from  (90.38246600000001, 23.770982999999998) to (90.382499, 23.770808)
Time : 19 : 27. Cost: 0.0008236072963841151time . Ride Car from  (90.382499, 23.770808) to (90.382573, 23.770329999999998)
Time : 19 : 27. Cost: 0.0009570525975249624time . Ride Car from  (90.382573, 23.770329999999998) to (90.38265899999999, 23.769810999999997)
Time : 19 : 27. Cost: 0.002257881771290239time . Ride Car from  (90.38265899999999, 23.769810999999997) to (90.382862, 23.769095999999998)
Time : 19 : 27. Cost: 0.0023467194823849563time . Ride Car from  (90.382862, 23.769095999999998) to (90.383073, 23.76844)
Time : 19 : 27. Cost: 0.0012519628475213362time . Ride Car from  (90.383073, 23.76844) to (90.383185, 23.766716)
Time : 19 : 28. Cost: 0.0007018593835878918time . Ride Car from  (90.383185, 23.766716) to (90.383248, 23.766135000000002)
Time : 19 : 28. Cost: 0.0015918266592510513time . Ride Car from  (90.383248, 23.766135000000002) to (90.383391, 23.765135)
Time : 19 : 28. Cost: 0.010863744456875605time . Ride Car from  (90.383391, 23.765135) to (90.38436800000001, 23.765113)
Time : 19 : 28. Cost: 0.013321159854798287time . Ride Car from  (90.38436800000001, 23.765113) to (90.385566, 23.764922)
Time : 19 : 29. Cost: 0.038851530171568time . Ride Car from  (90.385566, 23.764922) to (90.38906, 23.764362)
Time : 19 : 29. Cost: 0.0005120922870283883time . Ride Car from  (90.38906, 23.764362) to (90.38910600000001, 23.764035)
Time : 19 : 29. Cost: 0.0002036951928665336time . Ride Car from  (90.38910600000001, 23.764035) to (90.389124, 23.763534)
Time : 19 : 29. Cost: 0.0004912348108619869time . Ride Car from  (90.389124, 23.763534) to (90.38916800000001, 23.762951)
Time : 19 : 30. Cost: 0.00017847160882737803time . Ride Car from  (90.38916800000001, 23.762951) to (90.389184, 23.762764)
Time : 19 : 30. Cost: 0.00018959844385558051time . Ride Car from  (90.389184, 23.762764) to (90.389201, 23.76257)
Time : 19 : 30. Cost: 0.0004682376735412286time . Ride Car from  (90.389201, 23.76257) to (90.38924300000001, 23.762123000000003)
Time : 19 : 30. Cost: 0.00022280056973370384time . Ride Car from  (90.38924300000001, 23.762123000000003) to (90.389263, 23.761944)
Time : 19 : 30. Cost: 0.0010694058945029132time . Ride Car from  (90.389263, 23.761944) to (90.389359, 23.761093)
Time : 19 : 30. Cost: 0.0016243250217373765time . Ride Car from  (90.389359, 23.761093) to (90.389505, 23.760385999999997)
Time : 19 : 30. Cost: 0.00025584493875519356time . Ride Car from  (90.389505, 23.760385999999997) to (90.389528, 23.760293)
Time : 19 : 30. Cost: 0.0014571819977100462time . Ride Car from  (90.389528, 23.760293) to (90.389659, 23.759774)
Time : 19 : 30. Cost: 0.0016796545290666217time . Ride Car from  (90.389659, 23.759774) to (90.38981, 23.759175)
Time : 19 : 30. Cost: 0.000344780775255862time . Ride Car from  (90.38981, 23.759175) to (90.389841, 23.759079)
Time : 19 : 30. Cost: 0.003124845701411924time . Ride Car from  (90.389841, 23.759079) to (90.39012199999999, 23.758538)
Time : 19 : 30. Cost: 0.0003893614374535369time . Ride Car from  (90.39012199999999, 23.758538) to (90.39015699999999, 23.758382)
Time : 19 : 30. Cost: 0.0015687316818104517time . Ride Car from  (90.39015699999999, 23.758382) to (90.390298, 23.757687)
Time : 19 : 30. Cost: 0.004570758794968149time . Ride Car from  (90.390298, 23.757687) to (90.390709, 23.756672000000002)
Time : 19 : 31. Cost: 0.006060978949052163time . Ride Car from  (90.390709, 23.756672000000002) to (90.391254, 23.755329999999997)
Time : 19 : 31. Cost: 0.004581883724926955time . Ride Car from  (90.391254, 23.755329999999997) to (90.391666, 23.754312)
Time : 19 : 31. Cost: 0.0017460607421093965time . Ride Car from  (90.391666, 23.754312) to (90.391823, 23.753885999999998)
Time : 19 : 31. Cost: 0.0022131517717296897time . Ride Car from  (90.391823, 23.753885999999998) to (90.392022, 23.753352)
Time : 19 : 31. Cost: 0.0023354726453186465time . Ride Car from  (90.392022, 23.753352) to (90.39223199999999, 23.752799)
Time : 19 : 32. Cost: 0.0023354744256606445time . Ride Car from  (90.39223199999999, 23.752799) to (90.392442, 23.752245000000002)
Time : 19 : 32. Cost: 0.002146409613037632time . Ride Car from  (90.392442, 23.752245000000002) to (90.392635, 23.751738)
Time : 19 : 32. Cost: 0.007106298789480334time . Ride Car from  (90.392635, 23.751738) to (90.393274, 23.750220000000002)
Time : 19 : 32. Cost: 0.0016459500584108736time . Ride Car from  (90.393274, 23.750220000000002) to (90.393422, 23.749833)
Time : 19 : 32. Cost: 0.010954763425281068time . Ride Car from  (90.393422, 23.749833) to (90.394407, 23.747052)
Time : 19 : 33. Cost: 0.00409287526016563time . Ride Car from  (90.394407, 23.747052) to (90.394775, 23.745929999999998)
Time : 19 : 33. Cost: 0.002235578168806988time . Ride Car from  (90.394775, 23.745929999999998) to (90.394976, 23.745276999999998)
Time : 19 : 33. Cost: 0.002168916787859373time . Ride Car from  (90.394976, 23.745276999999998) to (90.39517099999999, 23.744603)
Time : 19 : 34. Cost: 0.0020575773140956467time . Ride Car from  (90.39517099999999, 23.744603) to (90.395356, 23.744029)
Time : 19 : 34. Cost: 0.0011566548306131447time . Ride Car from  (90.395356, 23.744029) to (90.39546, 23.74373)
